ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
7BqTgvrgMX0vlXNvWigeSl,melodie group,0,86,twee indie pop,2000,2019,4,4,57
24SITlEUrtGnnTd0yD6sOy,le roi angus,4,1485,rock,2015,2023,8,1,1286
4KxpqghQTX2FlkzsbG3ENk,simo cell,18,12594,"deconstructed club, experimental techno",2015,2023,20,4,17086
4wLgqkai4BYWNKbHcQJi7c,knipi,23,3326,suomi rock,2018,2022,8,1,17690
0gdV6abgZatTdy8Jjar0KU,crystal age,2,1507,"gothenburg metal, grim death metal",2009,2009,1,10,563
2fBURuq7FrlH6z5F92mpOl,digitalism,44,342548,"alternative dance, dance-punk, electronica, indietronica, neo-synthpop, new rave",2007,2024,20,1,515242
0dBiZwqIcSIMbQt7G4PKV4,tom mcdermott,7,1166,jazz,1994,2020,15,15,2303
1ZWUYMOPBYe1GmrpB2Vn3e,oisima,1,1809," blues , dance , jazz , blues , contemporary ",2012,2020,4,6,387
1wJFBaegHeJvkN5n7FzUah,cikatriz,0,78," indie , rock ",2013,2023,7,1,11
6GjIqqLMx5dHfbLoaPntjV,weeed,3,1633," ambient , rock ",2013,2022,14,1,436
3HgDVnEnlN20dfe1vvaBXH,sundance head,20,12190,classic texas country,2010,2023,17,5,23577
5KERW35TppCULi1YqBwUuJ,henri ratsimbazafy,8,134,malagasy folk,2023,2023,4,16,883
7MsYIE1BBy9k2KpTrGNEox,bipolar explorer,0,130,pop,2005,2018,11,1,29
